DQB7,"DQB7,DQB3",STOP
DQB8,"DQB8,DQB3",STOP
DQB9,"DQB9,DQB3",STOP
DR1,DR1,STOP
DR2,DR2,STOP
DR3,DR3,STOP
DR4,DR4,STOP
DR5,DR5,STOP
DR6,DR6,STOP
DR7,DR7,STOP
DR8,DR8,STOP
DR9,DR9,STOP
DR10,DR10,STOP
DR11,DR11,STOP
DR12,DR12,STOP
DR13,DR13,STOP
DR14,DR14,STOP
DR15,DR15,STOP
DR16,DR16,STOP
DR17,DR17,STOP
DR18,DR18,STOP
DR103,DR103,STOP
DR1403,DR1403,STOP
DR1404,DR1404,STOP
DR51,DR51,STOP
DR52,DR52,STOP
DR53,DR53,STOP
DR1,"DR1,DR103",STOP
DR2,"DR2,DR15,DR16",STOP
DR3,"DR3,DR17,DR18",STOP
DR4,DR4,STOP
DR5,"DR5,DR11,DR12",STOP
DR6,"DR6,DR13,DR14,DR1403,DR1404",STOP
DR7,DR7,STOP
DR8,DR8,STOP
DR9,DR9,STOP
DR10,DR10,STOP
DR11,DR11,STOP
DR12,DR12,STOP
DR13,"DR13,DR6",STOP
DR14,"DR14,DR1403,DR1404,DR6",STOP
DR15,"DR15,DR2",STOP
DR16,"DR16,DR2",STOP
DR17,"DR17,DR3",STOP
DR18,"DR18,DR3",STOP
DR103,DR103,STOP
DR1403,"DR1403,DR6",STOP
DR1404,"DR1404,DR6",STOP
DR51,"DR51,DR2,DR15,DR16",STOP
DR52,"DR52,DR3,DR5,DR6,DR11,DR12,DR13,DR14,DR17,DR18",STOP
DR53,"DR53,DR4,DR7,DR9",STOP
