Exchange,Nodes,NodeIDs,HasNDD,AssignedValue
199,5,15;16;47;79;109,Yes,0.833903
200,5,15;16;47;81;109,Yes,0.882088
201,5,15;16;47;84;109,Yes,0.882088
202,5,15;16;47;85;109,Yes,0.882088
203,5,15;16;47;91;109,Yes,1.49
204,5,15;16;47;92;109,Yes,0.882088
205,5,15;16;47;93;109,Yes,0.882088
206,5,15;16;47;95;109,Yes,0.882088
207,5,15;16;47;96;109,Yes,0.882088
208,5,15;16;47;99;109,Yes,0.882088
209,5,15;16;47;100;109,Yes,0.882088
210,5,15;16;47;101;109,Yes,0.833903
211,5,15;16;47;102;109,Yes,0.882088
212,5,15;16;47;103;109,Yes,0.882088
213,5,15;16;47;108;109,Yes,1.36038
214,5,15;16;47;71;109,Yes,1.3122
215,5,15;16;47;83;109,Yes,1.89421
216,4,15;16;54;109,Yes,0.6561
217,5,15;16;54;59;109,Yes,0.833903
218,5,15;16;54;60;109,Yes,0.833903
219,5,15;16;54;64;109,Yes,0.833903
220,5,15;16;54;70;109,Yes,0.833903
221,5,15;16;54;75;109,Yes,0.833903
222,5,15;16;54;79;109,Yes,0.6561
223,5,15;16;54;81;109,Yes,0.833903
224,5,15;16;54;84;109,Yes,0.833903
225,5,15;16;54;85;109,Yes,0.833903
226,5,15;16;54;91;109,Yes,1.3122
227,5,15;16;54;92;109,Yes,0.833903
228,5,15;16;54;93;109,Yes,0.833903
229,5,15;16;54;95;109,Yes,0.833903
230,5,15;16;54;96;109,Yes,0.833903
231,5,15;16;54;99;109,Yes,0.833903
232,5,15;16;54;100;109,Yes,0.833903
233,5,15;16;54;101;109,Yes,0.6561
234,5,15;16;54;102;109,Yes,0.833903
235,5,15;16;54;103;109,Yes,0.833903
236,5,15;16;54;108;109,Yes,0.833903
237,4,15;16;59;109,Yes,0.833903
238,5,15;16;59;60;109,Yes,0.882088
239,5,15;16;59;64;109,Yes,0.882088
240,5,15;16;59;70;109,Yes,0.882088
241,5,15;16;59;75;109,Yes,0.882088
242,5,15;16;59;79;109,Yes,0.833903
243,5,15;16;59;81;109,Yes,0.882088
244,5,15;16;59;84;109,Yes,0.882088
245,5,15;16;59;85;109,Yes,0.882088
246,5,15;16;59;91;109,Yes,1.49
247,5,15;16;59;92;109,Yes,0.882088
248,5,15;16;59;93;109,Yes,0.882088
249,5,15;16;59;95;109,Yes,0.882088
250,5,15;16;59;96;109,Yes,0.882088
251,5,15;16;59;99;109,Yes,0.882088
252,5,15;16;59;100;109,Yes,0.882088
253,5,15;16;59;101;109,Yes,0.833903
254,5,15;16;59;102;109,Yes,0.882088
255,5,15;16;59;103;109,Yes,0.882088
256,5,15;16;59;108;109,Yes,0.882088
257,4,15;16;60;109,Yes,0.833903
258,5,15;16;60;64;109,Yes,0.882088
259,5,15;16;60;70;109,Yes,0.882088
260,5,15;16;60;75;109,Yes,0.882088
261,5,15;16;60;79;109,Yes,0.833903
262,5,15;16;60;81;109,Yes,0.882088
263,5,15;16;60;84;109,Yes,0.882088
264,5,15;16;60;85;109,Yes,0.882088
265,5,15;16;60;91;109,Yes,1.49
266,5,15;16;60;92;109,Yes,0.882088
267,5,15;16;60;93;109,Yes,0.882088
268,5,15;16;60;95;109,Yes,0.882088
269,5,15;16;60;96;109,Yes,0.882088
270,5,15;16;60;99;109,Yes,0.882088
271,5,15;16;60;100;109,Yes,0.882088
272,5,15;16;60;101;109,Yes,0.833903
273,5,15;16;60;102;109,Yes,0.882088
274,5,15;16;60;103;109,Yes,0.882088
275,5,15;16;60;108;109,Yes,1.36038
276,4,15;16;64;109,Yes,0.833903
277,5,15;16;64;70;109,Yes,0.882088
278,5,15;16;64;75;109,Yes,0.882088
279,5,15;16;64;79;109,Yes,0.833903
280,5,15;16;64;81;109,Yes,0.882088
281,5,15;16;64;84;109,Yes,0.882088
282,5,15;16;64;85;109,Yes,0.882088
283,5,15;16;64;91;109,Yes,1.49
284,5,15;16;64;92;109,Yes,0.882088
285,5,15;16;64;93;109,Yes,0.882088
286,5,15;16;64;95;109,Yes,0.882088
287,5,15;16;64;96;109,Yes,0.882088
288,5,15;16;64;99;109,Yes,0.882088
289,5,15;16;64;100;109,Yes,0.882088
290,5,15;16;64;101;109,Yes,0.833903
291,5,15;16;64;102;109,Yes,0.882088
292,5,15;16;64;103;109,Yes,0.882088
293,5,15;16;64;108;109,Yes,1.36038
294,4,15;16;70;109,Yes,0.833903
295,5,15;16;70;75;109,Yes,0.882088
296,5,15;16;70;79;109,Yes,0.833903
297,5,15;16;70;81;109,Yes,0.882088
298,5,15;16;70;84;109,Yes,0.882088
299,5,15;16;70;85;109,Yes,0.882088
300,5,15;16;70;91;109,Yes,1.36038
301,5,15;16;70;92;109,Yes,0.882088
302,5,15;16;70;93;109,Yes,0.882088
303,5,15;16;70;95;109,Yes,0.882088
304,5,15;16;70;96;109,Yes,0.882088
305,5,15;16;70;99;109,Yes,0.882088
306,5,15;16;70;100;109,Yes,0.882088
307,5,15;16;70;101;109,Yes,0.833903
308,5,15;16;70;102;109,Yes,0.882088
309,5,15;16;70;103;109,Yes,0.882088
310,5,15;16;70;108;109,Yes,0.882088
311,4,15;16;75;109,Yes,0.833903
312,5,15;16;75;79;109,Yes,0.833903
313,5,15;16;75;81;109,Yes,0.882088
314,5,15;16;75;84;109,Yes,0.882088
315,5,15;16;75;85;109,Yes,0.882088
316,5,15;16;75;91;109,Yes,1.49
317,5,15;16;75;92;109,Yes,0.882088
318,5,15;16;75;93;109,Yes,0.882088
319,5,15;16;75;95;109,Yes,0.882088
320,5,15;16;75;96;109,Yes,0.882088
321,5,15;16;75;99;109,Yes,0.882088
322,5,15;16;75;100;109,Yes,0.882088
323,5,15;16;75;101;109,Yes,0.833903
324,5,15;16;75;102;109,Yes,0.882088
325,5,15;16;75;103;109,Yes,0.882088
326,5,15;16;75;108;109,Yes,0.882088
327,4,15;16;79;109,Yes,0.6561
328,5,15;16;79;81;109,Yes,0.833903
329,5,15;16;79;84;109,Yes,0.833903
330,5,15;16;79;85;109,Yes,0.833903
331,5,15;16;79;91;109,Yes,1.3122
332,5,15;16;79;92;109,Yes,0.833903
333,5,15;16;79;93;109,Yes,0.833903
334,5,15;16;79;95;109,Yes,0.833903
335,5,15;16;79;96;109,Yes,0.833903
336,5,15;16;79;99;109,Yes,0.833903
337,5,15;16;79;100;109,Yes,0.833903
338,5,15;16;79;101;109,Yes,0.6561
339,5,15;16;79;102;109,Yes,0.833903
340,5,15;16;79;103;109,Yes,0.833903
341,5,15;16;79;108;109,Yes,0.833903
342,4,15;16;81;109,Yes,0.833903
343,5,15;16;81;84;109,Yes,0.882088
344,5,15;16;81;85;109,Yes,0.882088
345,5,15;16;81;91;109,Yes,1.49
346,5,15;16;81;92;109,Yes,0.882088
347,5,15;16;81;93;109,Yes,0.882088
348,5,15;16;81;95;109,Yes,0.882088
349,5,15;16;81;96;109,Yes,0.882088
350,5,15;16;81;99;109,Yes,0.882088
351,5,15;16;81;100;109,Yes,0.882088
352,5,15;16;81;101;109,Yes,0.833903
353,5,15;16;81;102;109,Yes,0.882088
354,5,15;16;81;103;109,Yes,0.882088
355,5,15;16;81;108;109,Yes,1.36038
356,5,15;16;71;81;109,Yes,1.3122
357,4,15;16;84;109,Yes,0.833903
358,5,15;16;84;85;109,Yes,0.882088
359,5,15;16;84;91;109,Yes,1.49
360,5,15;16;84;92;109,Yes,0.882088
361,5,15;16;84;93;109,Yes,0.882088
362,5,15;16;84;95;109,Yes,0.882088
363,5,15;16;84;96;109,Yes,0.882088
364,5,15;16;84;99;109,Yes,0.882088
365,5,15;16;84;100;109,Yes,0.882088
366,5,15;16;84;101;109,Yes,0.833903
367,5,15;16;84;102;109,Yes,0.882088
368,5,15;16;84;103;109,Yes,1.36038
369,5,15;16;84;108;109,Yes,0.882088
370,4,15;16;85;109,Yes,0.833903
371,5,15;16;85;91;109,Yes,1.49
372,5,15;16;85;92;109,Yes,0.882088
373,5,15;16;85;93;109,Yes,0.882088
374,5,15;16;85;95;109,Yes,0.882088
375,5,15;16;85;96;109,Yes,0.882088
376,5,15;16;85;99;109,Yes,0.882088
377,5,15;16;85;100;109,Yes,0.882088
378,5,15;16;85;101;109,Yes,0.833903
379,5,15;16;85;102;109,Yes,0.882088
380,5,15;16;85;103;109,Yes,0.882088
381,5,15;16;85;108;109,Yes,1.36038
382,4,15;16;91;109,Yes,1.3122
383,5,15;16;91;92;109,Yes,1.36038
384,5,15;16;91;93;109,Yes,1.49
385,5,15;16;91;95;109,Yes,1.49
386,5,15;16;91;96;109,Yes,1.49
387,5,15;16;91;99;109,Yes,1.49
388,5,15;16;91;100;109,Yes,1.49
389,5,15;16;91;101;109,Yes,1.3122
390,5,15;16;91;102;109,Yes,1.49
391,5,15;16;91;103;109,Yes,1.49
392,5,15;16;91;108;109,Yes,1.36038
393,5,15;16;21;91;109,Yes,1.3122
394,5,15;16;53;91;109,Yes,2.11941
395,5,15;16;61;91;109,Yes,1.44182
396,5,15;16;67;91;109,Yes,1.45478
397,5,15;16;77;91;109,Yes,1.44182
398,5,15;16;83;91;109,Yes,1.7905
399,5,15;16;86;91;109,Yes,1.44182
400,5,15;16;87;91;109,Yes,1.44182
401,5,15;16;91;105;109,Yes,1.95758
402,5,15;16;91;106;109,Yes,1.44182
403,5,15;16;91;107;109,Yes,1.95758
404,4,15;16;92;109,Yes,0.833903
405,5,15;16;92;93;109,Yes,0.882088
406,5,15;16;92;95;109,Yes,0.882088
407,5,15;16;92;96;109,Yes,0.882088
408,5,15;16;92;99;109,Yes,0.882088
409,5,15;16;92;100;109,Yes,0.882088
410,5,15;16;92;101;109,Yes,0.833903
411,5,15;16;92;102;109,Yes,0.882088
412,5,15;16;92;103;109,Yes,0.882088
413,5,15;16;92;108;109,Yes,0.882088
414,4,15;16;93;109,Yes,0.833903
415,5,15;16;93;95;109,Yes,0.882088
416,5,15;16;93;96;109,Yes,0.882088
417,5,15;16;93;99;109,Yes,0.882088
418,5,15;16;93;100;109,Yes,0.882088
419,5,15;16;93;101;109,Yes,0.833903
420,5,15;16;93;102;109,Yes,0.882088
421,5,15;16;93;103;109,Yes,0.882088
422,5,15;16;93;108;109,Yes,1.36038
423,5,15;16;71;93;109,Yes,1.3122
424,4,15;16;95;109,Yes,0.833903
425,5,15;16;95;96;109,Yes,0.882088
426,5,15;16;95;99;109,Yes,0.882088
427,5,15;16;95;100;109,Yes,0.882088
428,5,15;16;95;101;109,Yes,0.833903
429,5,15;16;95;102;109,Yes,0.882088
430,5,15;16;95;103;109,Yes,0.882088
431,5,15;16;95;108;109,Yes,1.36038
432,5,15;16;83;95;109,Yes,1.66088
433,4,15;16;96;109,Yes,0.833903
434,5,15;16;96;99;109,Yes,0.882088
435,5,15;16;96;100;109,Yes,0.882088
436,5,15;16;96;101;109,Yes,0.833903
437,5,15;16;96;102;109,Yes,0.882088
438,5,15;16;96;103;109,Yes,0.882088
439,5,15;16;96;108;109,Yes,1.36038
440,5,15;16;31;96;109,Yes,1.36003
441,5,15;16;71;96;109,Yes,1.3122
442,5,15;16;83;96;109,Yes,1.89421
443,5,15;16;96;107;109,Yes,1.82796
444,4,15;16;99;109,Yes,0.833903
445,5,15;16;99;100;109,Yes,1.36038
446,5,15;16;99;101;109,Yes,0.833903
447,5,15;16;99;102;109,Yes,0.882088
448,5,15;16;99;103;109,Yes,1.36038
449,5,15;16;99;108;109,Yes,0.882088
450,4,15;16;100;109,Yes,0.833903
